campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,country,shopping,video_p25,video_p50,video_p75,video_p100
[ALC] Aniversário Capitu,120238793338590087,OUTCOME_AWARENESS,2026-01-01,321567,237692,1.352873,708,0.220172,0.49435,1.08842,350.0,469.0,0,0.746269,65.0,0,5.384615,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,525.0,0,0.666667,49.0,0,0,527.0,0,0.664137,0,0,0,0.0,0,0,0.0,0,0,,,,469.0,BR,CS,,,,
[ALC] Aniversário Capitu,120238793338590087,OUTCOME_AWARENESS,2026-01-01,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,unknown,CS,,,,
ALC - LIQUIDA,120238798195590087,OUTCOME_AWARENESS,2026-01-01,976650,645287,1.513513,1108,0.113449,1.353466,1.535494,1499.64,883.0,0,1.698347,136.0,0,11.026765,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,26353.0,0,0.056906,86.0,0,0,26353.0,0,0.056906,0,0,0,0.0,0,0,0.0,0,0,,,,883.0,BR,CS,19690.0,8919.0,5561.0,4067.0
[ALC] Novas Lojas - Vídeo Elisa,120238977169450087,OUTCOME_AWARENESS,2026-01-01,311954,214426,1.454833,351,0.112517,1.088006,1.224187,381.89,229.0,0,1.667642,34.0,0,11.232059,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,12774.0,0,0.029896,58.0,0,0,12774.0,0,0.029896,0,0,0,0.0,0,0,0.0,0,0,,,,229.0,BR,CS,1812.0,475.0,282.0,125.0
[ALC] Video Argentinos,120238977290500087,OUTCOME_AWARENESS,2026-01-01,355584,287897,1.235108,394,0.110804,0.978198,1.083879,385.41,227.0,0,1.697841,67.0,0,5.752388,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,16735.0,0,0.02303,63.0,0,0,16735.0,0,0.02303,0,0,0,0.0,0,0,0.0,0,0,,,,227.0,BR,CS,820.0,297.0,187.0,119.0
[ALC] Nike 20% OFF - 26/01,120238977576680087,OUTCOME_AWARENESS,2026-01-01,284413,233630,1.217365,265,0.093174,1.131434,1.054206,299.83,144.0,0,2.082153,16.0,0,18.739375,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9100.0,0,0.032948,30.0,0,0,9100.0,0,0.032948,0,0,0,0.0,0,0,0.0,0,0,,,,143.0,BR,CS,6728.0,2746.0,1636.0,1164.0
[ALC] Volta às aulas,120239008937960087,OUTCOME_AWARENESS,2026-01-01,150394,99322,1.514206,182,0.121015,1.009725,1.221924,183.77,109.0,0,1.685963,16.0,0,11.485625,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,126.0,0,1.458492,15.0,0,0,126.0,0,1.458492,0,0,0,0.0,0,0,0.0,0,0,,,,109.0,BR,CS,,,,
[ALC] Capivalley vídeo,120239017203610087,OUTCOME_AWARENESS,2026-01-01,283373,233822,1.211918,540,0.190562,0.575444,1.096576,310.74,172.0,0,1.806628,24.0,0,12.9475,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,19222.0,0,0.016166,81.0,0,0,19222.0,0,0.016166,0,0,0,0.0,0,0,0.0,0,0,,,,171.0,BR,CS,2611.0,747.0,393.0,210.0
[ALC] - Video Capivalley 2,120239017296950087,OUTCOME_AWARENESS,2026-01-01,255960,179729,1.424144,1429,0.55829,0.215514,1.203196,307.97,128.0,0,2.406016,26.0,0,11.845,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,26454.0,0,0.011642,187.0,0,0,26456.0,0,0.011641,0,0,0,0.0,0,0,0.0,0,0,,,,127.0,BR,CS,4284.0,1466.0,741.0,358.0
[ALC] Usaflex liquida,120239017471460087,OUTCOME_AWARENESS,2026-01-01,182885,130353,1.402998,217,0.118654,0.989908,1.174563,214.81,174.0,0,1.23454,16.0,0,13.425625,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,187.0,0,1.148717,11.0,0,0,187.0,0,1.148717,0,0,0,0.0,0,0,0.0,0,0,,,,174.0,BR,CS,,,,
