data,plataforma,impressoes,cliques,custo,conversoes,receita,ctr,cpc,cpm,roas,cpa
2025-09-01,TikTok Ads,21227,0,42.03,0.0,0.0,0.0,0.0,1.98,0.0,0.0
2025-09-02,TikTok Ads,20001,0,41.98,0.0,0.0,0.0,0.0,2.1,0.0,0.0
2025-09-03,TikTok Ads,18475,0,42.37,0.0,0.0,0.0,0.0,2.29,0.0,0.0
2025-09-04,TikTok Ads,17421,0,43.13,0.0,0.0,0.0,0.0,2.48,0.0,0.0
2025-09-05,TikTok Ads,20232,0,44.79,0.0,0.0,0.0,0.0,2.21,0.0,0.0
2025-09-06,TikTok Ads,19322,0,41.96,0.0,0.0,0.0,0.0,2.17,0.0,0.0
2025-09-07,TikTok Ads,18881,0,42.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0
2025-09-08,TikTok Ads,18198,0,40.89,0.0,0.0,0.0,0.0,2.25,0.0,0.0
2025-09-09,TikTok Ads,24327,0,56.68,0.0,0.0,0.0,0.0,2.33,0.0,0.0
2025-09-10,TikTok Ads,30245,0,76.72,0.0,0.0,0.0,0.0,2.54,0.0,0.0
2025-09-11,TikTok Ads,28863,0,77.44,0.0,0.0,0.0,0.0,2.68,0.0,0.0
2025-09-12,TikTok Ads,27360,0,76.17,0.0,0.0,0.0,0.0,2.78,0.0,0.0
2025-09-13,TikTok Ads,10275,0,30.17,0.0,0.0,0.0,0.0,2.94,0.0,0.0
2025-09-14,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-15,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-17,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-18,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-26,TikTok Ads,8799,0,20.15,0.0,0.0,0.0,0.0,2.29,0.0,0.0
2025-09-27,TikTok Ads,17467,0,42.29,0.0,0.0,0.0,0.0,2.42,0.0,0.0
2025-09-28,TikTok Ads,18281,0,42.78,0.0,0.0,0.0,0.0,2.34,0.0,0.0
