plataforma,tipo,segmento,impressoes,cliques,custo,conversoes,cpa,ctr
Google Ads,faixa_etaria,503005,74,18,1.630287,4.0,0.40757175,24.324324324324326
Google Ads,faixa_etaria,503005,101,23,1.246533,4.0,0.31163325,22.772277227722775
Google Ads,faixa_etaria,503005,146,43,4.522094,5.0,0.9044188,29.45205479452055
Google Ads,faixa_etaria,503005,199,58,6.131723,0.0,0.0,29.145728643216078
Google Ads,faixa_etaria,503006,14,7,0.14,2.0,0.07,50.0
Google Ads,faixa_etaria,503006,22,8,0.13,3.09091,0.04205881115917319,36.36363636363637
Google Ads,faixa_etaria,503006,12,7,0.105256,1.0,0.105256,58.333333333333336
Google Ads,faixa_etaria,503006,16,4,0.13,0.5,0.26,25.0
Google Ads,faixa_etaria,503006,29,15,0.637628,4.40909,0.14461668961168858,51.724137931034484
Google Ads,faixa_etaria,503006,18,9,0.257628,2.666667,0.09661048792368902,50.0
Google Ads,faixa_etaria,503006,25,15,0.309888,8.0,0.038736,60.0
Google Ads,faixa_etaria,503006,28,14,0.35384,4.0,0.08846,50.0
Google Ads,faixa_etaria,503006,29,10,0.2,2.6875,0.07441860465116279,34.48275862068966
Google Ads,faixa_etaria,503006,23,10,0.21,3.666667,0.05727272206611617,43.47826086956522
Google Ads,faixa_etaria,503006,32,11,0.237628,2.333333,0.10184058597722656,34.375
Google Ads,faixa_etaria,503006,22,6,0.09,4.0,0.0225,27.27272727272727
Google Ads,faixa_etaria,503006,22,14,0.26019,5.333334,0.04878561890179763,63.63636363636363
Google Ads,faixa_etaria,503006,22,11,0.29,3.0,0.09666666666666666,50.0
Google Ads,faixa_etaria,503006,25,8,0.13,3.0,0.043333333333333335,32.0
Google Ads,faixa_etaria,503006,18,8,0.18,4.666666,0.03857143408163344,44.44444444444444
Google Ads,faixa_etaria,503006,36,21,0.34,12.0,0.028333333333333335,58.333333333333336
