ano,semana,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2026,24,Google Ads,3522972,79760,31471.801098,60991.755156,264.816187946,0.008414395703677373,0.5160009089343938,2.2639975566084543
2026,24,TikTok Ads,158855,7762,385.13,7762.0,0.0,0.0,0.04961736665807782,4.8862169903371
2026,25,Google Ads,1212,348,26.750009,188.533333,0.0,0.0,0.141884772174478,28.71287128712871
2026,25,TikTok Ads,41567,0,73.87,0.0,0.0,0.0,0.0,0.0
2026,26,Google Ads,61488,15527,1255.241878,8411.407194,2.0,0.0015933184154010515,0.14923090144719015,25.25208170699974
2026,26,TikTok Ads,27811,0,53.72,0.0,0.0,0.0,0.0,0.0
2026,27,Google Ads,983815,57265,11171.050041,18450.468073,1.0,8.951709967548251e-05,0.6054616065457691,5.820708161595422
2026,27,TikTok Ads,230421,0,667.98,0.0,0.0,0.0,0.0,0.0
2026,28,Google Ads,229285,42156,4127.702665,24086.643188000002,1.0,0.00024226551211629,0.17136894638172026,18.38585166931984
2026,28,TikTok Ads,4828,0,48.69,0.0,0.0,0.0,0.0,0.0
2026,29,Google Ads,440493,46004,6674.739235,28915.287753,1.0,0.00014981858688296757,0.2308377247363719,10.4437527951636
2026,29,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,30,Google Ads,867406,76258,8689.710998,39405.871761,3.0,0.0003452358773140409,0.22051817685201444,8.791500174082262
2026,30,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,31,Google Ads,2069366,135524,15370.334403,63991.336221000005,18.711013,0.0012173458631028848,0.2401939904789162,6.549058987148721
2026,32,Google Ads,2521595,130468,14924.269204,65134.654984,26.991626,0.0018085727100638006,0.22912947351400068,5.174026756874121
2026,32,TikTok Ads,121766,247,296.21,247.0,0.0,0.0,1.199230769230769,0.20284808567251944
2026,33,Google Ads,2451277,114395,14918.880063,47641.451819,6.5900929999999995,0.00044172839865801655,0.3131491483441772,4.66675124843092
2026,33,TikTok Ads,135340,341,411.34000000000003,341.0,0.0,0.0,1.206275659824047,0.25195803162405794
2026,34,Google Ads,422935,35339,3710.106783,20276.321618,0.0,0.0,0.1829773098344627,8.355657488739404
2026,34,TikTok Ads,805,11,90.06,11.0,0.0,0.0,8.187272727272727,1.3664596273291925
2026,35,Google Ads,337796,26101,2575.147186,17889.695136,0.0,0.0,0.14394583956983986,7.726852893462327
2026,35,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,36,Google Ads,528450,32144,3631.025315,12296.330412,3694.1754269999997,1.0173918126483785,0.2952934081420323,6.082694673100577
2026,36,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,37,Google Ads,188101,12244,1059.67305,1881.195716,1531.195716,1.4449699518167418,0.5632976095933232,6.509268956571204
