data,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2026-01-04,CS,CS,Meta Ads,226879,699,279.45,0.0,0.0,0.0,0.0,0.3080937415979443
2026-01-04,GS,GS,Meta Ads,159732,489,174.16,0.0,0.0,0.0,0.0,0.30613778078281123
2026-01-04,NR,NR,Meta Ads,136477,676,118.16000000000001,0.0,0.0,0.0,0.0,0.4953215560131011
2026-01-04,NS,NS,Meta Ads,107199,725,123.71000000000001,0.0,0.0,0.0,0.0,0.6763122790324536
2026-01-05,NS,NS,Meta Ads,86602,618,115.38,0.0,0.0,0.0,0.0,0.713609385464539
2026-01-05,GERAL,GERAL,Google Ads,17,2,0.822178,0.0,0.0,0.0,0.0,11.76470588235294
2026-01-05,NR,NR,Meta Ads,109500,623,108.23,0.0,0.0,0.0,0.0,0.5689497716894978
2026-01-05,GS,GS,Meta Ads,129545,492,162.5,0.0,0.0,0.0,0.0,0.3797908062835308
2026-01-05,CS,CS,Meta Ads,165860,499,206.55,0.0,0.0,0.0,0.0,0.3008561437356807
2026-01-05,BS,BS,Meta Ads,88353,656,121.91,0.0,0.0,0.0,0.0,0.742476203411316
2026-01-06,BS,BS,Meta Ads,77555,593,121.22,0.0,0.0,0.0,0.0,0.7646186577267746
2026-01-06,CS,CS,Meta Ads,6,0,0.01,0.0,0.0,0.0,0.0,0.0
2026-01-06,GS,GS,Meta Ads,117868,452,163.16,0.0,0.0,0.0,0.0,0.38347982488885873
2026-01-06,NR,NR,Meta Ads,93957,475,108.27999999999999,0.0,0.0,0.0,0.0,0.5055504113583874
2026-01-06,NS,NS,Meta Ads,82676,627,118.15,0.0,0.0,0.0,0.0,0.7583821181479511
2026-01-06,GERAL,GERAL,Google Ads,185243,1768,1023.364977,3939.636366,8.0,0.007817347847345767,0.25976127792704,0.9544220294424082
2026-01-07,NR,NR,Meta Ads,115746,558,135.63,0.0,0.0,0.0,0.0,0.48209009382613655
2026-01-07,GERAL,GERAL,Google Ads,229373,1867,1020.5652309999999,5242.635283,5.0,0.004899245876817452,0.19466645606825442,0.8139580508603891
2026-01-07,GS,GS,Meta Ads,106686,371,156.95,0.0,0.0,0.0,0.0,0.34774947040848847
2026-01-07,BS,BS,Meta Ads,71573,503,116.13,0.0,0.0,0.0,0.0,0.702778980900619
2026-01-07,NS,NS,Meta Ads,76723,551,114.58000000000001,0.0,0.0,0.0,0.0,0.7181679548505664
2026-01-08,BS,BS,Meta Ads,58875,182,66.96,0.0,0.0,0.0,0.0,0.30912951167728236
2026-01-08,NS,NS,Meta Ads,73058,538,117.38,0.0,0.0,0.0,0.0,0.7364012154726381
2026-01-08,NR,NR,Meta Ads,114895,515,137.62,0.0,0.0,0.0,0.0,0.44823534531528786
2026-01-08,GS,GS,Meta Ads,103710,402,164.87,0.0,0.0,0.0,0.0,0.3876193231125253
2026-01-08,GERAL,GERAL,Google Ads,343665,4757,1603.3942450000002,6826.798325,12.0,0.007484123157745273,0.23486767422560417,1.3841968195772045
2026-01-09,GS,GS,Meta Ads,257180,312,342.14,0.0,0.0,0.0,0.0,0.12131580993856442
2026-01-09,GERAL,GERAL,Google Ads,562187,11984,2809.25718,9227.423066,11.0,0.00391562583814416,0.304446556737079,2.1316750476265014
2026-01-09,NR,NR,Meta Ads,256904,393,356.03999999999996,0.0,0.0,0.0,0.0,0.152975430511008
2026-01-09,NS,NS,Meta Ads,212140,519,326.89000000000004,0.0,0.0,0.0,0.0,0.24464975959272178
2026-01-09,BS,BS,Meta Ads,201873,203,303.6,0.0,0.0,0.0,0.0,0.10055827178473596
