campaign_id,stat_time_day,video_views_p75,video_views_p50,average_video_play_per_user,video_watched_2s,video_watched_6s,video_views_p25,total_complete_payment_rate,cost_per_conversion,engaged_view,clicks,conversion_rate,impressions,cpc,engaged_view_15s,video_views_p100,video_play_actions,ctr,average_video_play,conversion,spend,cpm,shopping,shopping_sigla,campaign_name,objective_type
1866441986593986,2026-06-04 00:00:00,24,44,1.11,948,180,129,0.0,0.0,195,37,0.0,16101,0.92,68,17,16021,0.23,1.1,0,34.14,2.12,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451828239378,2026-06-09 00:00:00,41,69,1.14,472,88,167,0.0,0.0,90,0,0.0,6770,0.0,37,30,6728,0.0,1.14,0,11.52,1.7,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451828239378,2026-05-30 00:00:00,30,64,1.1,549,96,205,0.0,0.0,100,0,0.0,7414,0.0,24,19,7421,0.0,1.1,0,13.61,1.84,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451636143266,2026-06-14 00:00:00,32,61,15.33,254,240,199,0.0,0.0,382,185,0.0,694,0.02,205,26,672,26.66,5.09,0,3.6,5.19,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866451636143266,2026-06-04 00:00:00,561,1039,36.2,3152,2956,2705,0.0,0.0,4549,2122,0.0,6654,0.02,2652,382,6103,31.89,7.76,0,32.48,4.88,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1863928702907457,2026-05-20 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,ALC - PROMO MAES,REACH
1866451636143266,2026-05-28 00:00:00,265,482,18.66,1622,1483,1355,0.0,0.0,2197,906,0.0,4250,0.03,1207,194,3526,21.32,6.74,0,24.52,5.77,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866441986593986,2026-06-14 00:00:00,1,1,1.22,82,12,4,0.0,0.0,13,1,0.0,1265,2.33,3,0,1259,0.08,1.1,0,2.33,1.84,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451828239378,2026-06-06 00:00:00,36,62,1.07,492,87,173,0.0,0.0,88,0,0.0,7108,0.0,21,17,7072,0.0,1.06,0,12.09,1.7,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866441986593986,2026-06-07 00:00:00,13,20,1.46,1305,182,63,0.0,0.0,194,26,0.0,16696,1.11,68,7,16590,0.16,1.2,0,28.93,1.73,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866441986593986,2026-05-28 00:00:00,11,26,1.06,558,110,83,0.0,0.0,117,23,0.0,10688,0.85,38,7,10632,0.22,1.06,0,19.57,1.83,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451636143266,2026-06-07 00:00:00,503,933,33.76,3269,3033,2632,0.0,0.0,4504,1878,0.0,6031,0.02,2437,359,5580,31.14,8.52,0,29.99,4.97,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1863928955315249,2026-05-16 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1866451636143266,2026-06-10 00:00:00,276,564,27.46,2256,2113,1871,0.0,0.0,3095,1269,0.0,5298,0.02,1566,187,4439,23.95,7.08,0,26.12,4.93,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866451636143266,2026-05-31 00:00:00,509,1005,32.04,3469,3305,2992,0.0,0.0,4650,1755,0.0,7174,0.02,2360,347,6360,24.46,7.81,0,37.47,5.22,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1863928702907457,2026-05-17 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,ALC - PROMO MAES,REACH
1863928955315249,2026-05-22 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1863928702907457,2026-05-27 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,ALC - PROMO MAES,REACH
1866451828239378,2026-06-10 00:00:00,38,80,1.32,415,96,166,0.0,0.0,94,0,0.0,6469,0.0,27,25,6429,0.0,1.31,0,11.92,1.84,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
