shopping,shopping_sigla,grupo_anuncio,keyword,match_type,quality_score,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes
GERAL,GERAL,Narbona - Genérico Awareness,shopping continente,BROAD,8.0,2026-02-21,128,27,0.2109375,1.1370429259259258,30.700159,32.0,0.0
GERAL,GERAL,Grupo de anúncios 1,lojas Continente shopping,BROAD,3.0,2025-12-12,357,57,0.15966386554621848,0.5346508421052631,30.475098,56.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-16,464,73,0.15732758620689655,0.4174534246575342,30.4741,17.833333,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente são josé,BROAD,7.0,2026-01-21,149,32,0.21476510067114093,0.9520415,30.465328,28.05,0.0
GERAL,GERAL,Grupo de anúncios 1,neumarkt shopping,BROAD,7.0,2025-12-13,363,62,0.17079889807162535,0.48650912903225807,30.163566,101.409089,0.0
GERAL,GERAL,Grupo de anúncios 1,lojas no Nações shopping,BROAD,3.0,2025-12-13,194,33,0.17010309278350516,0.9063106060606061,29.90825,38.5,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema GNC,BROAD,8.0,2026-02-03,969,143,0.1475748194014448,0.2087286083916084,29.848191,32.533333,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente,BROAD,8.0,2026-03-03,59,21,0.3559322033898305,1.3962402857142857,29.321046,17.0,0.0
GERAL,GERAL,Narbona - Genérico Awareness,continente shopping,BROAD,8.0,2026-02-16,145,33,0.22758620689655173,0.8827778787878788,29.13167,31.333333,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes em florianópolis,BROAD,,2026-02-12,135,17,0.1259259259259259,1.7120908823529413,29.105545,18.0,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes,BROAD,1.0,2026-02-08,563,26,0.046181172291296625,1.1126923076923076,28.93,16.0,0.0
GERAL,GERAL,Grupo de anúncios 1,lojas Continente shopping,BROAD,3.0,2025-12-10,319,56,0.1755485893416928,0.5136180357142858,28.76261,74.256281,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurante no continente shopping,BROAD,7.0,2025-12-21,362,74,0.20441988950276244,0.3882904864864865,28.733496,51.895833,0.0
GERAL,GERAL,Grupo de anúncios 1,ingresso cinema,BROAD,9.0,2026-02-07,1134,279,0.24603174603174602,0.10274607168458783,28.666154,101.610884,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes,BROAD,1.0,2026-02-02,580,25,0.04310344827586207,1.1424,28.56,13.0,0.0
GERAL,GERAL,Grupo de anúncios 1,neumarkt shopping,BROAD,7.0,2025-12-12,188,38,0.20212765957446807,0.7466519210526316,28.372773,60.193902,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente,BROAD,8.0,2026-03-05,173,33,0.1907514450867052,0.8595188181818182,28.364121,10.0,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente são josé,BROAD,7.0,2026-01-25,148,32,0.21621621621621623,0.88613815625,28.356421,25.979166,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes,BROAD,1.0,2026-01-31,700,33,0.047142857142857146,0.8568620606060605,28.276448,20.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2025-12-14,1226,198,0.16150081566068517,0.14128859595959595,27.975142,207.1875,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-03,1155,213,0.18441558441558442,0.13130914084507042,27.968847,68.038691,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,8.0,2026-01-09,723,84,0.11618257261410789,0.32832995238095236,27.579716,107.545903,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping criciuma,BROAD,8.0,2026-01-10,530,52,0.09811320754716982,0.52994,27.55688,69.221591,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes continente shopping,BROAD,8.0,2025-12-17,139,34,0.2446043165467626,0.8022058823529412,27.275,28.0,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente palhoça,BROAD,6.0,2026-02-07,36,14,0.3888888888888889,1.9392857142857143,27.15,19.3125,0.0
GERAL,GERAL,Grupo de anúncios 1,lojas Continente shopping,BROAD,3.0,2025-12-14,576,59,0.10243055555555555,0.4541196949152542,26.793062,50.09091,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping criciuma,BROAD,8.0,2025-12-16,227,39,0.17180616740088106,0.6847961282051283,26.707049,40.0,0.0
GERAL,GERAL,NS_Search,shopping,BROAD,8.0,2026-02-28,831,230,0.2767749699157641,0.11564578695652174,26.598531,97.949999,0.0
GERAL,GERAL,Grupo de anúncios 1,comprar presentes em joinville,BROAD,,2026-01-11,515,80,0.1553398058252427,0.33223997499999997,26.579198,84.22159,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente são josé,BROAD,7.0,2026-01-19,165,34,0.20606060606060606,0.7659217058823529,26.041338,24.45,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes continente shopping,BROAD,8.0,2026-01-10,320,46,0.14375,0.565909304347826,26.031828,39.666666,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2025-12-15,890,170,0.19101123595505617,0.15231901176470589,25.894232,185.020833,0.0
GERAL,GERAL,Narbona - Genérico Awareness,shopping continente,BROAD,8.0,2026-02-16,117,34,0.2905982905982906,0.7600335882352941,25.841142,34.416667,0.0
GERAL,GERAL,Grupo de anúncios 1,filmes no cinema hoje,BROAD,8.0,2026-02-04,919,160,0.17410228509249184,0.16134238750000002,25.814782,36.5,0.0
GERAL,GERAL,Narbona - Genérico Awareness,continente shopping,BROAD,8.0,2026-02-24,69,20,0.2898550724637681,1.286,25.72,11.333333,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes,BROAD,1.0,2026-01-27,606,25,0.041254125412541254,1.0264,25.66,8.5,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,7.0,2025-12-10,552,47,0.08514492753623189,0.5452244468085107,25.625549,65.424243,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,7.0,2026-01-10,790,90,0.11392405063291139,0.28457458888888887,25.611713,89.456522,0.0
GERAL,GERAL,Grupo de anúncios 1,Continente shopping,BROAD,8.0,2025-12-14,447,48,0.10738255033557047,0.5331397708333334,25.590709,55.0,0.0
GERAL,GERAL,Grupo de anúncios 1,norte shopping,BROAD,6.0,2025-12-11,73,18,0.2465753424657534,1.4191062222222222,25.543912,21.0,0.0
