shopping,shopping_sigla,campanha_id,campanha,status,tipo_canal,estrategia_lance,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,cpa,impression_share,view_through_conv,todas_conversoes,valor_todas_conversoes,interacoes,taxa_interacao
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-06,25758,266,0.01032688873359733,0.11030884586466165,29.342153,65.0,0.0,0.45141773846153843,0.260625,0,152.0,0.0,266,0.01032688873359733
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-06,1228,64,0.05211726384364821,0.35030096875,22.419262,27.0,0.0,0.830343037037037,0.5070093457943925,0,68.0,0.0,64,0.05211726384364821
GERAL,GERAL,24081766981,[PMAX - CARNES NOBRES - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-06,6739,225,0.03338774298857397,0.2140035911111111,48.150808,87.0,0.0,0.5534575632183908,0.28305400372439476,0,161.0,0.0,225,0.03338774298857397
GERAL,GERAL,24147825497,[PMAX - LEGUEIROS - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-06,3263,92,0.02819491265706405,0.08879871739130435,8.169482,25.0,0.0,0.32677928,0.35827664399092973,0,60.0,0.0,92,0.02819491265706405
GERAL,GERAL,24187241257,[INSCRIÇÕES BS NIGHT RUN],PAUSED,VIDEO,TARGET_CPM,2026-09-06,5626,18,0.003199431212228937,3.561269277777778,64.102847,0.0,0.0,0.0,0.0,0,0.0,0.0,18,0.003199431212228937
GERAL,GERAL,24198488801,[DEMAND GEN - NIGHT RUN BS],PAUSED,DEMAND_GEN,MAXIMIZE_CONVERSIONS,2026-09-06,33125,1128,0.034052830188679245,0.07548137234042553,85.142988,819.956119,819.956119,0.10383846894616565,0.0,0,847.956119,819.956119,1128,0.034052830188679245
GERAL,GERAL,24214909873,[PMAX - 26FIT - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-06,3214,156,0.04853764779091475,0.14416933974358975,22.490417,55.0,0.0,0.4089166727272727,0.17880434782608695,0,190.0,0.0,156,0.04853764779091475
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-05,1107,223,0.2014453477868112,0.24369940358744396,54.344967,140.0,0.0,0.3881783357142857,0.0999,0,216.0,0.0,223,0.2014453477868112
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-05,6019,1351,0.22445588968267155,0.07584852035529238,102.471351,381.0,0.0,0.2689536771653543,0.4058831848394852,0,962.0,0.0,1351,0.22445588968267155
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-05,897,326,0.3634336677814939,0.17545129447852761,57.197122,44.0,0.0,1.299934590909091,0.1037463976945245,0,110.0,0.0,326,0.3634336677814939
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-05,1467,456,0.310838445807771,0.1214547850877193,55.383382,130.0,0.0,0.4260260153846154,0.0999,0,283.0,0.0,456,0.310838445807771
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-05,903,133,0.14728682170542637,0.313145984962406,41.648416,97.0,0.0,0.42936511340206185,0.0999,0,215.0,0.0,133,0.14728682170542637
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-05,7316,2050,0.2802077638053581,0.031075621463414634,63.705024,266.0,0.0,0.23949257142857142,0.5265614275909403,0,640.658359,0.0,2050,0.2802077638053581
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-05,26514,208,0.007844912121897866,0.16161961057692306,33.616879,83.0,0.0,0.4050226385542169,0.26465798045602607,0,195.0,0.0,208,0.007844912121897866
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-05,1468,60,0.04087193460490463,0.49620363333333334,29.772218,33.0,0.0,0.9021884242424242,0.4604519774011299,0,82.0,0.0,60,0.04087193460490463
GERAL,GERAL,24081766981,[PMAX - CARNES NOBRES - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-05,7537,148,0.019636460130025207,0.32577033108108105,48.214009,72.0,0.0,0.6696390138888889,0.1570864414216762,0,282.0,0.0,148,0.019636460130025207
GERAL,GERAL,24147825497,[PMAX - LEGUEIROS - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-05,2479,65,0.026220250100847116,0.1762268,11.454742,26.0,0.0,0.440567,0.25389755011135856,0,35.0,0.0,65,0.026220250100847116
GERAL,GERAL,24187241257,[INSCRIÇÕES BS NIGHT RUN],PAUSED,VIDEO,TARGET_CPM,2026-09-05,5715,12,0.002099737532808399,5.340585416666667,64.087025,0.0,0.0,0.0,0.0,0,0.0,0.0,12,0.002099737532808399
GERAL,GERAL,24198488801,[DEMAND GEN - NIGHT RUN BS],PAUSED,DEMAND_GEN,MAXIMIZE_CONVERSIONS,2026-09-05,43999,1762,0.04004636469010659,0.04835908002270148,85.208699,1038.341435,1038.341435,0.08206231219117245,0.0,0,1118.341435,1038.341435,1762,0.04004636469010659
GERAL,GERAL,24214909873,[PMAX - 26FIT - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-05,2264,132,0.05830388692579505,0.17026605303030304,22.475119,101.0,0.0,0.2225259306930693,0.23376623376623376,0,218.0,0.0,132,0.05830388692579505
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-04,1498,294,0.19626168224299065,0.1679596326530612,49.380132,86.0,0.0,0.5741875813953489,0.21900269541778974,0,117.0,0.0,294,0.19626168224299065
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-04,2524,674,0.2670364500792393,0.04914203412462908,33.121731,105.0,0.0,0.31544505714285714,0.4300083822296731,0,292.028006,0.028006,674,0.2670364500792393
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-04,1484,563,0.3793800539083558,0.10366135879218472,58.361345,95.0,0.0,0.6143299473684211,0.28768,0,115.0,0.0,563,0.3793800539083558
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-04,1611,482,0.29919304779639977,0.10385636929460582,50.05877,117.0,0.0,0.4278527350427351,0.16186675919500346,0,191.0,0.0,482,0.29919304779639977
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-04,978,135,0.13803680981595093,0.34388631851851853,46.424653,110.0,0.0,0.4220423,0.10212765957446808,0,216.0,0.0,135,0.13803680981595093
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-04,4075,1398,0.3430674846625767,0.02130218669527897,29.780457,87.0,0.0,0.3423041034482759,0.5669586983729662,0,173.0,0.0,1398,0.3430674846625767
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-04,25015,291,0.011633020187887267,0.10458358075601375,30.433822,64.0,0.0,0.47552846875,0.35488837567359505,0,104.0,0.0,291,0.011633020187887267
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-04,974,42,0.043121149897330596,0.5601124761904762,23.524724,26.0,0.0,0.9047970769230769,0.5344827586206896,0,29.0,0.0,42,0.043121149897330596
GERAL,GERAL,24081766981,[PMAX - CARNES NOBRES - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-04,6662,64,0.009606724707295107,0.75179421875,48.11483,26.0,0.0,1.8505703846153845,0.13226205191594562,0,46.0,0.0,64,0.009606724707295107
GERAL,GERAL,24147825497,[PMAX - LEGUEIROS - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-04,2393,55,0.022983702465524447,0.20845332727272728,11.464933,10.0,0.0,1.1464933,0.29466357308584684,0,19.0,0.0,55,0.022983702465524447
GERAL,GERAL,24187241257,[INSCRIÇÕES BS NIGHT RUN],PAUSED,VIDEO,TARGET_CPM,2026-09-04,5643,14,0.002480949849370902,4.606435,64.49009,0.0,0.0,0.0,0.0,0,0.008895,0.008895,14,0.002480949849370902
GERAL,GERAL,24198488801,[DEMAND GEN - NIGHT RUN BS],PAUSED,DEMAND_GEN,MAXIMIZE_CONVERSIONS,2026-09-04,33947,1603,0.04722066751112028,0.0530989656893325,85.117642,1023.630802,1023.630802,0.08315267754125281,0.0,0,1031.630802,1023.630802,1603,0.04722066751112028
GERAL,GERAL,24214909873,[PMAX - 26FIT - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-04,2196,96,0.04371584699453552,0.23374951041666667,22.439953,50.0,0.0,0.44879905999999997,0.1639017916390179,0,132.0,0.0,96,0.04371584699453552
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-03,991,174,0.17558022199798184,0.23280047701149426,40.507283,113.5,0.0,0.35689236123348017,0.14113942170054394,0,157.5,0.0,174,0.17558022199798184
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-03,1263,279,0.2209026128266033,0.058084921146953405,16.205693,81.816666,0.0,0.1980732507482033,0.3474698795180723,0,158.809178,0.0,279,0.2209026128266033
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-03,663,286,0.43137254901960786,0.1410703076923077,40.346108,85.424242,0.0,0.4723027919873143,0.18105101649405447,0,114.424242,0.0,286,0.43137254901960786
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-03,1460,263,0.18013698630136987,0.15470044486692014,40.686217,153.833333,0.0,0.2644824512773184,0.1971932349766103,0,232.833333,0.0,263,0.18013698630136987
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-03,637,105,0.16483516483516483,0.30799963809523806,32.339962,98.0,0.0,0.329999612244898,0.0999,0,254.0,0.0,105,0.16483516483516483
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-03,1768,620,0.3506787330316742,0.020758516129032258,12.87028,99.499999,0.0,0.12934954903868892,0.44747612551159616,0,151.499999,0.0,620,0.3506787330316742
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-03,22252,143,0.0064263886392234406,0.2206346923076923,31.550761,67.0,0.0,0.4709068805970149,0.16909871244635194,0,104.0,0.0,143,0.0064263886392234406
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-03,403,29,0.07196029776674938,0.713163275862069,20.681735,31.0,0.0,0.6671527419354839,0.3815789473684211,0,35.0,0.0,29,0.07196029776674938
