shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,0,SATURDAY,661,122,0.18456883509833585,15.864221,68.7,0.0
GERAL,GERAL,1,SATURDAY,370,84,0.22702702702702704,9.019241,64.000004,1.0
GERAL,GERAL,2,SATURDAY,173,40,0.23121387283236994,3.833422,30.166667,0.0
GERAL,GERAL,3,SATURDAY,123,17,0.13821138211382114,2.02704,22.0,0.0
GERAL,GERAL,4,SATURDAY,110,25,0.22727272727272727,4.117302,25.333333,1.0
GERAL,GERAL,5,SATURDAY,154,26,0.16883116883116883,4.860354,20.0,0.0
GERAL,GERAL,6,SATURDAY,395,68,0.17215189873417722,9.561977,60.924242,0.0
GERAL,GERAL,7,SATURDAY,1061,208,0.19604147031102734,27.655998,193.207576,0.0
GERAL,GERAL,8,SATURDAY,2366,414,0.1749788672865596,51.959207,318.5124,0.0
GERAL,GERAL,9,SATURDAY,3724,643,0.17266380236305048,80.064863,631.336318,3.0
GERAL,GERAL,10,SATURDAY,5149,1010,0.19615459312487862,119.568134,889.228903,1.0
GERAL,GERAL,11,SATURDAY,5653,1177,0.2082080311339112,138.273786,1130.264884,3.0
GERAL,GERAL,12,SATURDAY,6258,1331,0.21268775966762543,149.772992,1311.342053,7.0
GERAL,GERAL,13,SATURDAY,6044,1278,0.2114493712772998,132.063911,1186.201879,4.0
GERAL,GERAL,14,SATURDAY,5608,1197,0.2134450784593438,131.015823,1150.867256,6.0
GERAL,GERAL,15,SATURDAY,5070,1094,0.21577909270216963,110.00234,1017.437763,4.0
GERAL,GERAL,16,SATURDAY,4983,1079,0.21653622315873972,111.37345,1108.852028,0.0
GERAL,GERAL,17,SATURDAY,5225,1096,0.20976076555023923,105.878353,1178.977822,1.0
GERAL,GERAL,18,SATURDAY,4796,1088,0.2268557130942452,104.656364,1078.580604,3.0
GERAL,GERAL,19,SATURDAY,3545,761,0.2146685472496474,76.360456,779.008168,0.0
GERAL,GERAL,20,SATURDAY,2057,434,0.21098687408847835,40.345965,469.153654,3.0
GERAL,GERAL,21,SATURDAY,890,203,0.22808988764044943,18.914673,171.5,1.0
GERAL,GERAL,22,SATURDAY,424,94,0.22169811320754718,9.733299,58.333333,0.0
