shopping,shopping_sigla,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,roas,cpa,impression_share
GERAL,GERAL,2026-02-06,715,32,0.044755244755244755,0.22451640625,7.184525,27.333334,0.0,0.0,0.2628484691988178,0.0999
GERAL,GERAL,2026-02-07,1282300,17102,0.013336972627310302,0.6663772754063851,11396.384164,17931.396208,7.0,0.0006142299082995357,0.6355547572428053,0.2482035276184946
GERAL,GERAL,2026-02-08,986492,16279,0.01650190777015931,0.5628737705633025,9163.022111,15345.354175,13.0,0.0014187458943696965,0.5971202753943605,0.3382828625119374
GERAL,GERAL,2026-02-09,204568,4285,0.02094658011028118,0.3772305787631272,1616.43303,4478.756376,6.0,0.0037118766374131815,0.3609111311929952,0.2820222763661678
GERAL,GERAL,2026-02-10,58718,3418,0.058210429510541915,0.1505584994148625,514.608951,2855.234862,6.0,0.011659338587758066,0.18023349246987447,0.37799312285089093
GERAL,GERAL,2026-02-11,61133,3085,0.05046374298660298,0.15154639286871963,467.520622,2660.945921,1.0,0.002138943081744959,0.1756971527720123,0.38158167854424685
GERAL,GERAL,2026-02-12,59913,3025,0.0504898769882997,0.1810246419834711,547.599542,2876.830592,4.0,0.0073046080086020225,0.1903482059467755,0.3591246580695584
GERAL,GERAL,2026-02-13,97684,3417,0.034980140043405265,0.2101357986537899,718.034024,3643.343911,1.0,0.0013926916644273113,0.19708104465024798,0.33113189040737595
GERAL,GERAL,2026-02-14,103054,4873,0.04728588895142353,0.14228275661809972,693.343873,5252.250192,4.0,0.005769143069935227,0.1320089195400614,0.33276044420941303
GERAL,GERAL,2026-02-15,96372,4507,0.04676669572074876,0.13110461681828267,590.888508,4432.366582,8.0,0.013538933134912145,0.13331219272332293,0.3083318190078139
GERAL,GERAL,2026-02-16,95031,4559,0.04797381906956677,0.12875446940118446,586.991626,4347.469656,6.0,0.010221610895689336,0.1350191427305042,0.33602949268185317
GERAL,GERAL,2026-02-17,105149,4359,0.041455458444683256,0.11691095732966277,509.614863,3686.373579,3.0,0.00588679847824611,0.13824286987707926,0.36607986767485823
GERAL,GERAL,2026-02-18,93739,2422,0.025837698289932685,0.17739738439306357,429.656465,2567.442003,1.0,0.0023274408311300516,0.16734807037430866,0.3524065275769469
GERAL,GERAL,2026-02-19,77890,1999,0.025664398510720245,0.23482299499749876,469.411167,2037.465793,2.0,0.004260657054202547,0.23038971678087944,0.28738786279683376
GERAL,GERAL,2026-02-20,115545,2942,0.02546194123501666,0.23002815907545887,676.742844,3087.446329,0.0,0.0,0.21919177594876338,0.24184748915065096
